Job Title,Company Name,Location,Salary,Job Classification,Job Sub Classification,Job Description,Facility,Posted Date
Data Analyst,Cv Sari Asem,Gunung Anyar,,Teknologi Informasi & Komunikasi,Pengembangan & Administrasi Database,"Job Description :

Memahami dengan baik sistem database produk-produk perusahaan.
Memelihara sistem database perusahaan.
Berkolaborasi dengan data researcher untuk memperoleh data yang dibutuhkan perusahaan.
Mengatur data yang diperoleh untuk dikelola sesuai jenis datanya.
Menganalisis data yang telah dikelompokan dengan alat statistik.
Mempresentasikan data yang telah diolah dalam sebuah rapat untuk dijelaskan kepada semua tim tentang data yang ada sehingga bisa digunakan sesuai kebutuhan.

Kualifikasi :

Minimal SMA/SMK SEDERAJAT/S1
Mampu mengoperasikan Microsoft Excel dan Microsoft Word
Teliti dan tanggungjawab
Siap dan minat untuk bekerja keras

Persyaratan minimum:
Mencari kandidat untuk bekerja pada:
Senin: Pagi
Selasa: Pagi
Rabu: Pagi
Kamis: Pagi
Jum'at: Pagi


Tidak diperlukan pengalaman kerja untuk posisi ini
Pelamar harus memiliki KTP
Gaji yang diinginkan: Rp3,500,000 per bulan",,2 hari yang lalu
Data Engineer,Collaborative Excellence Indonesia,Surabaya,,Sains & Teknologi,"Matematika, Statistik & Teknik Informasi","Job DescriptionDevelops or modifies data models, ETL processes, and BI tool solutionsEnsures appropriate documentation for all development and modificationEnsures integrity and security of institutional dataPerform development of BI reports and ad hoc data request.Provides day-to-day support for the enterprise data warehouse and troubleshoots existing reports, procedure and processTranslate business needs to technical specificationSupport data analyticDevelop and execute database queries and conduct analysisParticipate in data mart design and formulating business requirement for BI toolsRequirementsCandidates must possess at least Bachelor's Degree in Engineering (Computer / Telecommunication), Computer Science/Information Technology, Science & Technology or equivalentMinimum has 4 years of working experience in related fieldStrong proficiency query using Microsoft SQL Server and Microsoft Power BIIn-depth understanding of database management systems, online analytical processing (OLAP) and ETL (Extract, transform, load) framework.Experienced in Azure Data factoryBenefitsRemote workingMost of our clients are multinational company which you will be exposed to a large IT environment and valuable experience in international scale projectsYou will always learn new things as our projects always adopt latest technology and best practice available in the marketLast but not least, we offer a supportive and encouraging environment that puts the emphasis on teamwork. Here, your soft skill (professional relationships, character, attitude) will grow as fast as your technical skill",,1 hari yang lalu
Data Analyst Leader,PT Tiga Berlian Mandiri,Surabaya,,Penjualan,Pengembangan Bisnis Baru,"KUALIFIKASI : 

Pendidikan S1 Statistika/Matematika/Fisika
Pengalaman kerja Min 5 Tahun pada posisi yang sama 
Memiliki kemampuan Excel Level Advanced dan Minitab 
Memiliki kemampuan Analisa Data, Visualisasi Data, Komunikatif, Kreativitas dan problem solving yang baik 
Memahami program CRM/ERP 
Memiliki Presentation Skill yang baik 
Lokasi kera : Surabaya

Persyaratan minimum:
Mencari kandidat untuk bekerja pada:
Senin: Pagi, Siang
Selasa: Pagi, Siang
Rabu: Pagi, Siang
Kamis: Pagi, Siang
Jum'at: Pagi, Siang
Sabtu: Pagi, Siang


Diperlukan 2-3 tahun pengalaman kerja yang relevan untuk posisi ini
Pelamar harus memiliki KTP
Tanggal mulai kerja: 21 March 2024
Gaji yang diinginkan: Rp4,500,000 - Rp6,500,000 per bulan",,9 hari yang lalu
Analisis Data,PT AKR Corporindo Tbk.,Modung,,Teknologi Informasi & Komunikasi,Pengembangan & Administrasi Database,"Memahami dengan baik sistem database produk-produk perusahaan.
Memelihara sistem database perusahaan.
Berkolaborasi dengan data researcher untuk memperoleh data yang dibutuhkan perusahaan.
Mengatur data yang diperoleh untuk dikelola sesuai jenis datanya.
Menganalisis data yang telah dikelompokan dengan alat statistik.
Mempresentasikan data yang telah diolah dalam sebuah rapat untuk dijelaskan kepada semua tim tentang data yang ada sehingga bisa digunakan sesuai kebutuhan.

Berkolaborasi dengan programmer, engineer, hingga manager tim lainnya untuk pengolahan dan penggunaan data
Persyaratan minimum:
Tersedia jam fleksibel
Tidak diperlukan pengalaman kerja untuk posisi ini
Pelamar harus memiliki KTP",,14 hari yang lalu
Business Analyst,Pt. Gramulia utama,Jawa Timur,,Penjualan,Pengembangan Bisnis Baru,"Menganalisis Data: Mengumpulkan, menyusun, dan menganalisis data bisnis untuk mengidentifikasi tren, pola, dan masalah yang ada.
Komunikasi dengan Pemangku Kepentingan: Berinteraksi dengan berbagai level dalam organisasi untuk memahami kebutuhan bisnis dan mengkomunikasikan hasil analisis dengan jelas kepada pemangku kepentingan.
Pemodelan Bisnis: Membangun model bisnis yang memvisualisasikan proses, aliran kerja, dan struktur organisasi guna memberikan gambaran yang lebih baik tentang operasi perusahaan.
Perancangan Solusi: Merumuskan rekomendasi atau solusi yang didasarkan pada analisis data, kebutuhan bisnis, dan pemahaman mendalam terhadap proses operasional.
Konsultasi dan Dukungan: Memberikan saran dan dukungan kepada tim manajemen untuk membuat keputusan strategis berdasarkan temuan analisis.
Evaluasi Kinerja: Melakukan evaluasi terhadap implementasi solusi yang diusulkan serta memberikan rekomendasi untuk perbaikan lebih lanjut.

Persyaratan minimum:
Mencari kandidat untuk bekerja pada:
Senin: Siang, Pagi
Selasa: Siang, Pagi
Rabu: Siang, Pagi
Kamis: Siang, Pagi
Jum'at: Siang, Pagi


Tidak diperlukan pengalaman kerja untuk posisi ini
Pelamar harus memiliki KTP
Tanggal mulai kerja: 25 March 2024
Gaji yang diinginkan: Rp3,000,000 - Rp7,000,000 per bulan",,2 hari yang lalu
Junior Data Analyst,PT. Salam Pacific Indonesia Lines,Surabaya,,Teknologi Informasi & Komunikasi,Analis Bisnis/Sistem,"About the Job- Mengumpulkan & extracting data dari berbagai macam sumber internal maupun external- Melakukan data cleansing & menganalisa kualitas data yang didapatkan- Melakukan identifikasi, analisa & menginterpretasikan data untuk melihat pola & trend yang bisa digunakan untuk prediksi ataupun diagnosa atas performance perusahaan diwaktu-waktu sebelumnya- Menganalisa kejadian / event / trend di luar perusahaan (dalam skala lokal, nasional) untuk bisa melihat dampaknya terhadap perusahaan maupun bidang industri lainnya yang terkait dengan core business perusahaan dan kemudian memberikan laporan untuk top management sehingga bisa dilakukan pengambilan keputusan- Bekerjasama dengan team software engineer / programmer untuk identifikasi kemungkinan-kemungkinan improvement di system sehingga ke depannya dapat meningkatkan kualitas data yang kita miliki- Menyiapkan laporan analisis final bagi para stakeholders sehingga memungkinkan bagi mereka untuk mengambil keputusan berdasarkan berbagai macam data yang ada (related dengan job desc Data Scientist)Minimum Qualification- Pendidikan min. S1 Teknik Industri- Fresh Graduate ataupun berpengalaman dipersilahkan melamar- Mampu menggunakan Program SQL, Data Cleansing, Data Analytics, Statistics, dan Dashboard Reporting- Memiliki kemampuan analisa yang baik",,3 hari yang lalu
Data Scanner Officer,PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),Surabaya,,Sains & Teknologi,"Matematika, Statistik & Teknik Informasi","Job description & requirements
Siap Target Scan dokumen minimal 3000 dokumen perhari
Review data sesuai petunjuk
Lulusan SMK/SMA
Wajib memiliki Laptop Pribadi
Komunikasi Baik & Detail Oriented

Skills
Communication Skills
Attention to Detail
Analytical Skills

CultureSIGMATECH is collaborative, progressive, energetic, innovative and open.
SIGMATECH has established itself as the trusted partner for use in mission-critical applications and service clientele from SME to 500 Fortune company.
Benefits and perks of working with us include:
Compensation: Competitive salariesLifestyle: Casual dress codeProgression: Professional development (Webinars & Prime Class)Welfare: BPJS, Private Insurance, Transport Allowance
About the company",,28 hari yang lalu
